荧光分子摩根,溶剂摩根,λabs (nm)
0000000000000000010000000000000001000000000010000000000100000000100000001000000000001000000000000000000000000000000000000000000000000000100100010000100000000000000000000000000100000010000000000000000000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000100010000000010010000000000000000000000000000000000000000000000100110000000000000000000001000000000010000000000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000010000000000000000000000000000000000000010000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000100000000010000000100000000000000000000000000000000000000000000000001010000000110000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000000000000000001000000000000000000000000010000010000000000000010000000100001000010000000000001000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,804
0100000000000000010000000000000001000000000010000000010100000000100000001000000010001000000000000000001010000000000010010000000000000000100000010000100000000000000000000000000100000010000001000000000000000000000000001000001000000000000000000000000000000000000100000000000000000000000000000100011000000010010000000000000000000000000000000000010000000000100010000000000000000000001000000000010000000000000000000000000000001010000000100000000000000000000000000000000100000000000000000000000000000000000001000000000000010000000000000000000000000000000000000010000000000000000000000000000001000001000010000010000000000000000000000000000000000000000001000000000000100001000010000010000000100000000000000000000000000000000000000000001010000000100100000000000000000000000000000000000000000000000000000010000000000000000000000000100000000100000000000000000001000000000000000000000000010000010000010000000010000000100001000010000000000001001000010000000000000000010000001000000000000000000000000000000000000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,740
0000000000000001010000000000000001000000000010000000010100000000100000001100000010001010000000000000000000000000000000010010000000000000100000010000100000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100011000000010010000000000000000000000100010000000000000000000100010000000000000000000001000000000000000000000000000000000000000001010000000000000000000000000000000000000000100000000000000000000000100000000000001000000000000010000000000000000000000000000001000000010000000000000000000000000000000000001000010000010000000000000100000000000000000000000000001000000000000100001000010000001000000001000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000000000000000001000000000000000000000000010000010000010000000010000000101001000010000000000001000000010000000000000000010000001000000000000000000000001000000000000000000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,895
0100000000000001010000000000000001000000000010000000000100000000100000000100000010001010000000000000001010000000000010010010000000000000100000010000100000000000000000000000000000000010000001100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100011000000010010000000000000000000000100010000000010000000000100010000000000000000000001000000000000000000000000000000000000000001010000000100000000000000000000000000000000100000000000000000000000100000000000001000000000000010000000000000000000000000000001000000010000000000000000000000000000000000001000010000000000000000000100000000000000000000000000000000000000000100000000010000011000000101000000000000000100000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000100000000100000000000000000001000000000000000000000000010000000000010000000010000000101001000010000000000001001000010000000000000000000000000000000000000000000000001000000000000000000000000010000001000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,782
0100000000000001000000000000000000000000000000001000000000000000100000000000000010000000000000100000000000000000000010000000000000000010100000000000100000000000000000000000000100000000000000000000000000000000000000000001000000000000000100000000001000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000001010000000001000001000010001000000010000001001000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000001000000001000000000000000000001000000000010001000001000000000000000000000000100000000000010010000110000000010000000000000000000000000000000000000000000010000000000001000000000101000000000000000001000000000000000000000100000000000000010000000000001000000000000000000000000000000001000000001000000000000000000000000000000000000000000010000000000100001000000000000000000000000010000000000000000000000000000000000000010000000000000100000000001000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,536
0100000000000001000000000000000001000000000000001000000000000000100000000000000010000000000000100000000000000000000010000000000000000010100000000000100000000000000000000000000100000000000000000000000000000000000000000001000000000001000100000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001010000000001000001000000001000000010000000001000000100000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000100000010000001000000001000000000000000000000000000000010001000001000000000000000000000000100000000000000010000110000000010000000000000010000000000000010000000000001000000000000001000000000101000000000000000001000000000000000000000000000000000000010000100000000000100000000000000000000000000001000000001000000000000000000000000000000000000000000000010000000100001000000000000000000000000010000000000000000000000000000000000000010000000000000100000000001000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,537
0000000000001001000000000000000001000000000000000000000000000000100000000000010010001000000000100000000000000000000010000000000000000010100000000000100000000000000000000000000100000000000000000000001000000000000000000000000000000001000100000000001000000000010000000000000000000100000000000000010000000000000010000000000000100000100000010000000000000000001010000000001000001000000000000000010000000100000000100000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000001010000001000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000110000000010000000000000000000100000000010000000000010000000000000001000000000100000000000000000000000000000000000000000100000000000000010000100000000000100000000000000000000000000001000000011000000000000000000000000000000000000000000000010000000100001000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,532
0000000000000001000000000001000001000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000010000000000000000001000000000000000000000010000000000110000000000001000000011100000100100000100000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000001010000010000000000000000000000000000000000000000010000000000100000000000001001000000000000000000100000000000000000000000000000000000000000000000000000000000001001000000000000000000001001000000000000001000101000001000100000000010000100000000000000000000000000000000000000000000000000000000001000010000000000000000000000100000001000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,654
0000000000000000000001000100100001001000001000000000000000000000100000001000100010001000010010000000000000000000000000000000000000000000100000000000000000000000001001000000000100001000000000001000000000000000000000000000000000000000000000000000000000100001001000000000000000000000000000000000001000100000000000000010000000000000000000000000000000000000100010000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000100100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010001000000000000000000000000000000000000000010000000000000000000010000010000001000000000100000010000000000000100000000000000000000000000000001000000000000000000010000000000000000000000000000000000000010100000000000000001000000000000000000010000000000100000000010001000000000000000000000000010010010000000000000010000000100000000000000000000000000010000000100000000000000010001000000000001000000010000000000000100000000000000100000000000001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,650
0000000000000000000001000100100001001000001000000000000000000000100000001000100010001000010010000000000000000000000000000000000000000000100000000000000000000000000001000000000000011000000000001000000000000000000000000000000000000000000000000000000010100001001000000000000000000000000000000100001000100000000000000010000000000000000000000000000000000000100010000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000010000000000100100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000010001000000000000000000000000000000000000000010000000000000000000010000010000001000000000100000010000000000000100000000000000000000000000000001000000000000000000110000000000000000000000000000000000000010100000000000000001001000000000000000010000000000100000000010001000000000000000000000000010010010000000000000010000000100000000000000000000000000010000000100000000000000010001000000000001000000010000000000000100000000000000100000000000001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,650
