λabs (nm),smiles
721.0,F[B-]1(F)[N+]2=C3c4ccc(OC)cc4CCC3=C(CCc3ccccc3)C2=Nc2n1c1c(c2CCc2ccccc2)CCc2c-1ccc(OC)c2
728.0,c12c(-c3ccccc3)cc3n1[B-]1(Oc4c-3cccc4)Oc3c(cccc3)C3=[N+]1C(=N2)C(c1ccccc1)=C3
762.0,Cn1c(C2=[N+]3C(=Nc4c5c(cccc5)c(-c5cccn5C)n4[B-]3(F)F)c3c2cccc3)ccc1
774.0,Cn1c(C2=[N+]3C(=Nc4c5c(cccc5)c(-c5cccn5C)n4[B-]3(C#N)F)c3c2cccc3)ccc1
689.0,Cn1c2c(cccc2)cc1C1=N/C(=N\c2c3c(cccc3)c(-c3cc4c(cccc4)n3C)[nH]2)c2c1cccc2
777.0,Cn1c(C2=[N+]3C(=Nc4c5c(cccc5)c(-c5cc6c(cccc6)n5C)n4[B-]3(F)F)c3c2cccc3)cc2c1cccc2
793.0,Cn1c(C2=[N+]3C(=Nc4c5c(cccc5)c(-c5cc6c(cccc6)n5C)n4[B-]3(C#N)F)c3c2cccc3)cc2c1cccc2
723.0,C[Si](C)(C)c1sc(C2=N/C(=N\c3c4c(cccc4)c(-c4ccc([Si](C)(C)C)s4)[nH]3)c3c2cccc3)cc1
793.0,F[B-]1(F)[N+]2=C(c3ccc([Si](C)(C)C)s3)c3c(cccc3)C2=Nc2c3c(cccc3)c(-c3ccc([Si](C)(C)C)s3)n21
672.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](C#CCN(C)C)(C#CCN(C)C)n3c(c(C)cc3/C=C/c3ccc(O)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
708.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](C#CCN(C)C)(C#CCN(C)C)n3c(c(C)cc3/C=C/c3ccc(O)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
669.0,CC1=CC(/C=C/c2cc(OC)c(N(CC)CC)cc2)=[N+]2[B-](C#CCN(C)C)(C#CCN(C)C)n3c(c(C)cc3/C=C/c3ccc(N(CC)CC)c(OC)c3)C(c3ccc(C(OCC)=O)cc3)=C12
666.0,CC1=CC(/C=C/c2cc(OC)c(N(C)C)cc2)=[N+]2[B-](C#CCN(C)C)(C#CCN(C)C)n3c(c(C)cc3/C=C/c3ccc(N(C)C)c(OC)c3)C(c3ccc(C(OCC)=O)cc3)=C12
709.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](C#CCN(C)C)(C#CCN(C)C)n3c(c(C)cc3/C=C/c3ccc(N(C)C)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
631.0,CC1=CC(/C=C/c2cc(Cl)c(O)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
602.0,CC1=CC(/C=C/c2cc(Cl)c(O)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
688.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3/C=C/c3ccc(O)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
664.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3/C=C/c3ccc(O)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
726.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3/C=C/c3ccc(O)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
698.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3/C=C/c3ccc(O)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
682.0,CC1=CC(/C=C/c2cc(OC)c(N(C)C)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3/C=C/c3ccc(N(C)C)c(OC)c3)C(c3ccc(C(OCC)=O)cc3)=C12
662.0,CC1=CC(/C=C/c2cc(OC)c(N(C)C)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3/C=C/c3ccc(N(C)C)c(OC)c3)C(c3ccc(C(OCC)=O)cc3)=C12
677.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3/C=C/c3ccc(N(C)C)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
664.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3/C=C/c3ccc(N(C)C)cc3)C(c3ccc(C(OCC)=O)cc3)=C12
714.0,CC1=CC(/C=C/c2cc(OC)c(N(CC)CC)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3/C=C/c3ccc(N(CC)CC)c(OC)c3)C(c3ccc(C(OCC)=O)cc3)=C12
697.0,CC1=CC(/C=C/c2cc(OC)c(N(CC)CC)cc2)=[N+]2[B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)n3c(c(C)cc3/C=C/c3ccc(N(CC)CC)c(OC)c3)C(c3ccc(C(OCC)=O)cc3)=C12
703.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](F)(F)N3C(C(C)C=C3/C=C/c3ccc(N(C)C)cc3)C(c3ccc(CN(Cc4ncccc4)Cc4ccccn4)cc3)=C12
696.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](F)(F)N3C(C(C)C=C3/C=C/c3ccc(N(C)C)cc3)C(c3ccc(CN(Cc4ncccc4)Cc4ccccn4)cc3)=C12
695.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](F)(F)N3C(C(C)C=C3/C=C/c3ccc(N(C)C)cc3)C(c3ccc(CN(Cc4ncccc4)Cc4ccccn4)cc3)=C12
716.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](F)(F)N3C(C(C)C=C3/C=C/c3ccc(N(C)C)cc3)C(c3ccc(CN(Cc4ncccc4)Cc4ccccn4)cc3)=C12
698.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](F)(F)N3C(C(C)C=C3/C=C/c3ccc(N(C)C)cc3)C(c3ccc(CN(Cc4ncccc4)Cc4ccccn4)cc3)=C12
724.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2[B-](F)(F)N3C(C(C)C=C3/C=C/c3ccc(N(C)C)cc3)C(c3ccc(CN(Cc4ncccc4)Cc4ccccn4)cc3)=C12
695.0,Cc1cc(/C=C/c2cccn2CC#C)n2c1C(c1ccc(C(OC)=O)cc1)=C1[N+](=C(/C=C/c3cccn3CC#C)C=C1C)[B-]2(F)F
697.0,Cc1cc(/C=C/c2cccn2Cc2cn(CCOCCOCCOCCOC)nn2)n2c1C(c1ccc(C(OC)=O)cc1)=C1[N+](=C(/C=C/c3cccn3Cc3cn(CCOCCOCCOCCOC)nn3)C=C1C)[B-]2(F)F
670.0,Cc1cccc(C)c1C1=C2[N+](=C(c3ccc(-c4ccc(OC)cc4)s3)C(c3cc4c(c(=O)[nH][nH]c4=O)cc3)=C2)[B-](F)(F)n2c1ccc2-c1ccc(-c2ccc(OC)cc2)s1
662.0,Cc1cccc(C)c1C1=C2[N+](=C(c3ccc(-c4ccc(NC(OC(C)(C)C)=O)cc4)s3)C(c3cc4c(c(=O)[nH][nH]c4=O)cc3)=C2)[B-](F)(F)n2c1ccc2-c1ccc(-c2ccc(NC(OC(C)(C)C)=O)cc2)s1
678.0,Cc1cccc(C)c1C1=C2[N+](=C(c3ccc(-c4ccc(NC(OC(C)(C)C)=O)cc4)s3)C(c3cc4c(c(=O)[nH][nH]c4=O)cc3)=C2)[B-](F)(F)n2c1ccc2-c1ccc(-c2ccc(NC(OC(C)(C)C)=O)cc2)s1
689.0,Cc1cccc(C)c1C1=C2[N+](=C(c3ccc(-c4ccc(OC)cc4)s3)C=C2)[B-](F)(F)n2c1ccc2-c1ccc(-c2ccc(OC)cc2)s1
691.0,Cc1cccc(C)c1C1=C2[N+](=C(c3ccc(-c4ccc(NC(OC(C)(C)C)=O)cc4)s3)C=C2)[B-](F)(F)n2c1ccc2-c1ccc(-c2ccc(NC(OC(C)(C)C)=O)cc2)s1
553.0,F[B-]1(F)[N+]2=c3c4c(cccc4)c(-c4ccccc4)c(-c4ccccc4)c3=CC2=C(c2ccccc2)c2cc3c(c(-c4ccccc4)c(-c4ccccc4)c4c3cccc4)n21
626.0,F[B-]1(F)[N+]2=C(c3ccc(N(C)C)cc3)C=CC2=C(c2ccccc2)c2cc3c(cccc3)n21
674.0,F[B-]1(F)[N+]2=c3c4c(cccc4)c(-c4ccccc4)c(-c4ccccc4)c3=CC2=C(c2ccccc2)c2cc3c(c(-c4ccccc4)c(-c4ccccc4)c4c3cccc4)n21
698.0,F[B-]1(F)[N+]2=c3c4ccc(C(C)(C)C)cc4c4c(ccc(C(C)(C)C)c4)c3=CC2=C(CC(C=C(C)C)=O)c2n1c1c(c2)c2c(c3c1ccc(C(C)(C)C)c3)cc(C(C)(C)C)cc2
682.0,F[B-]1(F)[N+]2=c3c4cc(OC)ccc4c4c(cc(OC)cc4)c3=CC2=C(CC(C=C(C)C)=O)c2n1c1c(c2)c2c(c3c1cc(OC)cc3)ccc(OC)c2
740.0,F[B-]1(F)[N+]2=c3c4cc(OC)c(OC)c(OC)c4c4c(cc(OC)c(OC)c4OC)c3=CC2=C(CC(C=C(C)C)=O)c2n1c1c(c2)c2c(c3c1cc(OC)c(OC)c3OC)c(OC)c(OC)c(OC)c2
730.0,F[B-]1(F)[N+]2=c3c4[nH]cc(C(C)C)c4c4c(cccc4)c3=C(C(C)C)C2=Cc2n1c1c(c2C(C)C)c2c(c3c1[nH]cc3C(C)C)cccc2
723.0,F[B-]1(F)[N+]2=c3cc(-c4ccc(OC)cc4)oc3=CC2=C(C(F)(F)F)c2n1c1c(c2)oc(-c2ccc(OC)cc2)c1
690.0,F[B-]1(F)[N+]2=c3cc(-c4c(OC)cc(OC)cc4)oc3=CC2=Cc2n1c1c(c2)oc(-c2ccc(OC)cc2OC)c1
